participant	diagnostic	x	y	expected_direction	spearman_rho	spearman_p	n_trials
22	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.2277552174117378	0.012356695572854248	120
23	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.22687130324325755	0.012709062746130869	120
24	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.29670052255319523	0.0009997559723213443	120
25	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.2961112464408751	0.0010243569814921583	120
26	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.3261643281692027	0.00027744576734931037	120
27	Agent-confidence vs ADS reliability	agent_reliability_code	ppCo	positive	0.3279321565061632	0.00025581901600975267	120
1	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.17656512407508404	0.05474587362529036	119
2	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.24932574716067032	0.006248695113589563	119
3	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.1993224923259483	0.02976095700403363	119
4	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.2951822988816454	0.001118030803093421	119
5	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.06722926454528144	0.46755310631985353	119
6	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.2421395264241516	0.007974355851449257	119
7	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.025970968681198196	0.7791961893793831	119
8	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.33700910173813703	0.00017840728663616774	119
9	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.20834684640859916	0.022976874520875854	119
10	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.48933762957951865	1.6305181867813945e-08	119
11	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.1452168691347765	0.11507812513970309	119
12	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.24666080388850298	0.0068455202199432215	119
13	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.1251696332290357	0.17498219490942346	119
14	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.21093544848608492	0.021294658664480732	119
15	Agent-confidence vs previous choice accuracy	previous_choice_accuracy_code	ppCo	positive	0.3448972123775015	0.00012242184032132755	119
