measure	subject	trial_001	trial_002	trial_003	trial_004	trial_005	trial_006	trial_007	trial_008	trial_009	trial_010	trial_011	trial_012	trial_013	trial_014	trial_015	trial_016	trial_017	trial_018	trial_019	trial_020	trial_021	trial_022	trial_023	trial_024	trial_025	trial_026	trial_027	trial_028	trial_029	trial_030	trial_031	trial_032	trial_033	trial_034	trial_035	trial_036	trial_037	trial_038	trial_039	trial_040	trial_041	trial_042	trial_043	trial_044	trial_045	trial_046	trial_047	trial_048	trial_049	trial_050	trial_051	trial_052	trial_053	trial_054	trial_055	trial_056	trial_057	trial_058	trial_059	trial_060	trial_061	trial_062	trial_063	trial_064	trial_065	trial_066	trial_067	trial_068	trial_069	trial_070	trial_071	trial_072	trial_073	trial_074	trial_075	trial_076	trial_077	trial_078	trial_079	trial_080	trial_081	trial_082	trial_083	trial_084	trial_085	trial_086	trial_087	trial_088	trial_089	trial_090	trial_091	trial_092	trial_093	trial_094	trial_095	trial_096	trial_097	trial_098	trial_099	trial_100	trial_101	trial_102	trial_103	trial_104	trial_105	trial_106	trial_107	trial_108	trial_109	trial_110	trial_111	trial_112	trial_113	trial_114	trial_115	trial_116	trial_117	trial_118	trial_119	trial_120
Value	1	0.849461443333	0.847627689333	0.849424025333	0.845252683333	0.872491818	0.824451830667	0.886156016	0.860925403333	0.849254967333	0.860288653333	0.873012148	0.832367	0.810805549333	0.860039189333	0.857623997333	0.848838374	0.881560012	0.850328902	0.834686264	0.864350338	0.835099734667	0.845396974667	0.853720197333	0.832585392	0.875987414667	0.85473496	0.834045813333	0.859574614667	0.834308534	0.846186145333	0.860085475333	0.866240258667	0.792687036	0.885436852667	0.850843407333	0.863182052	0.850008338667	0.857009287333	0.849125191333	0.864198896	0.84732527	0.851021111333	0.882915708	0.851216133333	0.880560474667	0.847946648667	0.887959302	0.869685870667	0.84882419	0.857285316	0.890276605333	0.835796008667	0.845626602	0.865841727333	0.861592945333	0.844934086	0.881074359333	0.821148088	0.835579035333	0.881780190667	0.832870423333	0.84769859	0.879231432	0.834615114	0.880685151333	0.873223652	0.865642416667	0.867143739333	0.863433069333	0.846332944	0.861148799333	0.890337384	0.834856797333	0.876982032	0.874086115333	0.867663404	0.876998893333	0.868256077333	0.883201934	0.892849460667	0.850381754667	0.851057538	0.881242976	0.851599472	0.882650061333	0.847942706667	0.885058838667	0.863558522	0.85320716	0.871799466667	0.896213107333	0.835446986667	0.851437483333	0.870387528	0.871241000667	0.850867186	0.880415304667	0.857997752667	0.834132914	0.89197493	0.836762295333	0.851910355333	0.884394349333	0.833795578	0.887515734667	0.884005594	0.869066512667	0.867363202667	0.865640858667	0.857513811333	0.863049404	0.891140501333	0.831617672	0.891200712	0.882270704667	0.86901923	0.853940322	0.866373946	0.881412390667	0.89338836
Value	2	0.851778811333	0.847392683333	0.858345900667	0.847709746	0.849327612	0.839769026	0.847788946667	0.854928859333	0.857003208667	0.847509436	0.852772636667	0.849203883333	0.851837724667	0.853619310667	0.856592866	0.846038399333	0.845371873333	0.849953232667	0.854922677333	0.840104681333	0.853803002	0.850415157333	0.847958134	0.840801212667	0.852515139333	0.83863482	0.845297840667	0.82850662	0.860547106	0.862442721333	0.828540882	0.851151442667	0.859236426667	0.859519084	0.857756498667	0.856067754	0.842810626667	0.852971302	0.860208705333	0.857761642667	0.852937016667	0.861137384	0.856869551333	0.829070222	0.850790163333	0.83259906	0.851178132	0.842502158667	0.845198743333	0.826745520667	0.852085004	0.830527498	0.852541002667	0.854747528667	0.857576406667	0.826588547333	0.847193807333	0.85135632	0.859803248	0.838303197333	0.850407440667	0.851000901333	0.829738622667	0.850589878	0.851113233333	0.852684505333	0.843946603333	0.844812582667	0.860874235333	0.860651734667	0.845757152	0.850149623333	0.861713447333	0.858987017333	0.85908006	0.855999884	0.857287533333	0.851929591333	0.859550632	0.858431390667	0.852293808667	0.861331402	0.856054644	0.844718644	0.84975195	0.8519767	0.850963523333	0.857930874667	0.859687435333	0.845420188667	0.85184072	0.848184092667	0.853463007333	0.854067512	0.85562521	0.845338883333	0.849892996	0.849433164	0.857909058667	0.854251584667	0.852449484667	0.848075006	0.845974660667	0.850350456	0.850947554	0.854071416	0.84688679	0.848347346	0.859983636667	0.860684000667	0.845439803333	0.850402203333	0.860983802667	0.860976277333	0.856717054667	0.857803186667	0.857640028	0.849578096667	0.862048883333	0.842479268667
Value	3	0.816497386	0.828412830667	0.824154123333	0.800276264	0.812830208	0.804757390667	0.804641735333	0.823893789333	0.835629698	0.796493508667	0.777409700667	0.776775834	0.779896768667	0.783817586667	0.829136793333	0.797355509333	0.798440084667	0.802154278	0.790112778	0.787331818	0.811625738	0.764948321333	0.759090486667	0.765369450667	0.781224526	0.819237023333	0.74953433	0.801079215333	0.799544701333	0.799435634	0.757440828667	0.778367530667	0.806765166	0.808763400667	0.788714005333	0.792392486667	0.798539188667	0.809149536667	0.825754756667	0.833209938	0.815688988	0.830008712	0.827086964667	0.79395017	0.809775838667	0.807967453333	0.807099842	0.822547785333	0.832798354	0.792795630667	0.815876570667	0.804687397333	0.813712656667	0.821519641333	0.828657559333	0.800169678667	0.802580973333	0.809061576667	0.828372672	0.818937494	0.817267444667	0.803469152	0.794346285333	0.808957526667	0.815305529333	0.823612698	0.794413596667	0.797834021333	0.837046650667	0.836544082667	0.801039782667	0.769570464	0.827807572667	0.828933282	0.825080050667	0.829934588	0.784025993333	0.775399619333	0.799974883333	0.839467446667	0.815094015333	0.830390103333	0.824864677333	0.796812361333	0.808888676667	0.807489768667	0.809675646	0.832465036	0.836336103333	0.797685176	0.816790604	0.806761778	0.817807134667	0.817797104	0.830326791333	0.794896052	0.800059189333	0.815386792667	0.827327888	0.82057458	0.816225862667	0.807051357333	0.800037374	0.808295362667	0.819312198	0.818458471333	0.801530626	0.796345606	0.838293031333	0.83684745	0.797710255333	0.807907244667	0.833469406	0.833390993333	0.82947148	0.829533389333	0.828082371333	0.817869404	0.839037986	0.838347994667
Value	4	0.774555859333	0.775041192667	0.778291802	0.647503075333	0.733485971333	0.689125805333	0.749977220667	0.736058737333	0.775558760667	0.670608774	0.700271458	0.688542418	0.706835842667	0.746578093333	0.729932752	0.640451254	0.7071777	0.695397736	0.732067842667	0.717209146667	0.706616345333	0.733561704667	0.714282073333	0.755402744	0.711684130667	0.766926966667	0.654504032	0.620717472667	0.794212913333	0.753625025333	0.663747188667	0.693516202667	0.799676926	0.79996712	0.793192438667	0.735187146667	0.739186713333	0.738801158	0.796820628	0.754299966667	0.773128675333	0.804421496	0.793905869333	0.712165423333	0.744546264667	0.731897574667	0.737201266	0.792981966667	0.808051666	0.653772299333	0.754356436667	0.68632238	0.770817658	0.709674843333	0.737877935333	0.647836625333	0.717261055333	0.666558304667	0.729871256	0.742460569333	0.76309863	0.745686126667	0.634533468	0.744490492667	0.778893252667	0.711649599333	0.620514048	0.719986365333	0.810616526	0.816677358667	0.624772722	0.748885284667	0.810343271333	0.786216364	0.784589443333	0.78916377	0.732154209333	0.743483320667	0.803744386	0.808087064667	0.77632411	0.803408726667	0.790702372667	0.724026854667	0.747211145333	0.732016151333	0.746172702667	0.795146570667	0.806701232	0.714850862667	0.772975912667	0.754499374	0.764801989333	0.77357462	0.801188491333	0.715917024	0.714951477333	0.743668244	0.792885031333	0.778556168	0.778289436	0.751982173333	0.730864776	0.755222034	0.782129189333	0.779399443333	0.705504695333	0.722485787333	0.822466319333	0.814046194	0.650371786	0.752083072667	0.808578221333	0.81175654	0.794923545333	0.788838092	0.800559143333	0.774023746	0.814459511333	0.812031470667
Value	5	0.834172	0.838135725333	0.805733782667	0.713834494667	0.793891950667	0.800228394	0.798267372667	0.830054193333	0.853732104667	0.734819277333	0.82245873	0.740110105333	0.822546706	0.807461720667	0.839671112	0.705982496667	0.728255255333	0.809439316667	0.806156319333	0.806909387333	0.818962035333	0.785423791333	0.713854764667	0.736715421333	0.814904206	0.809623343333	0.716824194	0.768566786	0.841017397333	0.845987165333	0.77605763	0.755989657333	0.820096265333	0.834100328667	0.808425208	0.817919465333	0.816399220667	0.784500885333	0.824451796	0.837029935333	0.832514358	0.853003427333	0.84295079	0.770009328667	0.802472346	0.800601314	0.804441206	0.849723814	0.861634064	0.772054514	0.82566214	0.795210687333	0.813098364667	0.824274404	0.808934014667	0.710740860667	0.701461896667	0.804540926	0.84211065	0.76346235	0.82582215	0.795027275333	0.778926343333	0.799314736667	0.774735993333	0.820598806	0.776565213333	0.710080329333	0.85447522	0.86032732	0.702622412	0.736031681333	0.830475315333	0.834409230667	0.838640026667	0.844451421333	0.849428888667	0.783927187333	0.840906191333	0.850699792	0.834581341333	0.862458472667	0.838993642	0.780372485333	0.797886865333	0.798791605333	0.805490758667	0.846686091333	0.857788682	0.780247870667	0.827932928667	0.804152786667	0.825954736667	0.826204239333	0.853169939333	0.770591874667	0.785830758667	0.808628360667	0.848097584	0.833700292667	0.831291484	0.802208360667	0.780050596	0.811350294	0.770136477333	0.764310368	0.781936183333	0.772232968	0.856815515333	0.863811397333	0.773745616	0.813647183333	0.868310704667	0.866524625333	0.850189193333	0.848106788667	0.851452676667	0.818106266667	0.870850962	0.864111425333
Value	6	0.886058349333	0.886343003333	0.868659875333	0.781939285333	0.847789383333	0.856094905333	0.847824555333	0.883283197333	0.898723525333	0.824297948	0.857208802	0.843848983333	0.870885826	0.862913504	0.870774885333	0.824514922667	0.833110831333	0.811986944667	0.88105137	0.845766306667	0.843416473333	0.843758929333	0.826306615333	0.844866182	0.872245695333	0.843735626667	0.821485179333	0.826185812	0.882033277333	0.890668005333	0.825991654667	0.847968044	0.877645600667	0.889625168667	0.868776733333	0.881574932	0.885641695333	0.852093056667	0.880410922667	0.880544068	0.886039000667	0.90191115	0.891871637333	0.829518656	0.800413129333	0.809875837333	0.796750458667	0.861410618667	0.896645393333	0.828337856667	0.879168119333	0.8499764	0.880309738667	0.861507812667	0.886739714667	0.826465395333	0.825177305333	0.849595528	0.889099024667	0.877828121333	0.863506323333	0.850135024	0.828442230667	0.853215946667	0.873522211333	0.877264508	0.825517498667	0.825939864667	0.900106999333	0.888630663333	0.828786590667	0.848615406667	0.902003938	0.902334674667	0.895915112	0.893375879333	0.893079172	0.842388704	0.896017424	0.904792522667	0.885006105333	0.902540452	0.887242739333	0.822230586667	0.853439069333	0.847342746667	0.851962215333	0.897602040667	0.908164622667	0.833703635333	0.881911944	0.853901717333	0.877595104	0.876506292	0.872357110667	0.763922556667	0.759059644	0.802315554	0.867234562	0.879697714	0.880026529333	0.849185824	0.830472042667	0.85991127	0.879716725333	0.868470908667	0.832380918667	0.827627135333	0.91054027	0.905155377333	0.821055587333	0.859050522	0.906809118667	0.905988584667	0.892952148	0.893221883333	0.891616109333	0.882654290667	0.90375539	0.889258517333
Value	7	0.769253818667	0.776338388	0.748374278667	0.692009991333	0.710904456667	0.700975796	0.765878915333	0.780160904	0.781878559333	0.73966569	0.726442394	0.713349183333	0.779735492	0.718127081333	0.739882058667	0.744754859333	0.742470862	0.756406890667	0.769041220667	0.76690229	0.76631951	0.764776268667	0.705805719333	0.705562132667	0.764966612667	0.722145638	0.74534568	0.710082494	0.754953035333	0.753965512	0.704976959333	0.702291601333	0.788489998667	0.779100989333	0.777342988	0.77877497	0.732782773333	0.768840402667	0.782630386	0.781045694667	0.748641434667	0.759588984	0.739833932	0.681537565333	0.703069486	0.761805271333	0.753588636	0.741963271333	0.752432275333	0.684553122	0.778088525333	0.761555642667	0.77064627	0.716337994667	0.786020825333	0.746364756667	0.687692922	0.766313143333	0.789165258	0.776490764667	0.772524873333	0.695801984667	0.689657568667	0.758359921333	0.784698802667	0.726626614	0.680188536	0.678511569333	0.802104086	0.786596207333	0.751756893333	0.763909086	0.788749446667	0.786962228667	0.776308841333	0.781838632667	0.740308141333	0.776217492	0.787103292667	0.781190350667	0.772437916	0.792413825333	0.779925580667	0.747462282	0.761562393333	0.756150434	0.765538390667	0.788159682	0.791509447333	0.750120930667	0.770902882667	0.761941364	0.771872387333	0.779317158667	0.792104494	0.744498298	0.756749944	0.762065992667	0.785466307333	0.717210962667	0.781660994	0.756443304	0.743775272667	0.760378992667	0.774028420667	0.772757288667	0.748596333333	0.746775407333	0.801079844	0.791445492	0.750899164	0.764237517333	0.799829292667	0.799174264	0.783632642667	0.789161181333	0.783022256667	0.711599605333	0.799770304	0.800085595333
Value	8	0.927244338	0.916026615333	0.918541407333	0.845148037333	0.883504532	0.903410319333	0.904673994667	0.916790638	0.933373526667	0.870126884	0.893894485333	0.895551063333	0.915647179333	0.899486004	0.906384838667	0.869871764	0.857243370667	0.896892806	0.913833023333	0.906570133333	0.915331196667	0.883581505333	0.871158060667	0.880316267333	0.916667280667	0.896503317333	0.874279696	0.871011845333	0.936259386	0.930005288	0.871399388	0.88478386	0.926381534	0.914206512667	0.907321266	0.917579163333	0.913486270667	0.889446772667	0.93009175	0.917977079333	0.928360476	0.939250951333	0.933499439333	0.873918284	0.912339368667	0.888064764667	0.896918533333	0.934754992667	0.937549810667	0.872011726	0.918774815333	0.882896309333	0.897145447333	0.911866606667	0.924238937333	0.870397155333	0.843294053333	0.903376122	0.933864089333	0.897440096667	0.914464040667	0.899766634667	0.877293308	0.889711012	0.919305617333	0.901808384	0.872012591333	0.874992278	0.940686978	0.915779555333	0.872060112	0.878543998	0.916719807333	0.928211535333	0.921702399333	0.924468458667	0.923264223333	0.918199534667	0.937540094667	0.937078114667	0.928342975333	0.937278357333	0.933261307333	0.874560405333	0.907146257333	0.887885786667	0.904050780667	0.936208328667	0.937396216	0.879201438667	0.923967790667	0.907845130667	0.923919943333	0.925460423333	0.935285695333	0.873549396	0.895405355333	0.905910000667	0.932248665333	0.918092862667	0.920988146	0.903890168	0.881696112	0.908838982	0.926512553333	0.926058267333	0.868621771333	0.880110993333	0.940451276	0.939437588	0.868382642667	0.906050292667	0.940320497333	0.937146710667	0.927359177333	0.931675171333	0.930310318	0.922017556667	0.939998812667	0.938187986667
Value	9	0.843936144667	0.849678204	0.830645919333	0.811032406	0.839332620667	0.842388732667	0.839381726	0.831297323333	0.849100696	0.827512721333	0.843474518667	0.842750654667	0.834173452	0.844765342667	0.848221228667	0.837866536	0.836337972	0.842502664	0.826524284	0.844112856	0.844740454	0.822474788667	0.814762973333	0.837921503333	0.820743908667	0.844226754667	0.81194722	0.819208698667	0.831152130667	0.834411680667	0.836159351333	0.825216672667	0.828300502	0.849374595333	0.831998319333	0.850803532	0.848934478	0.824701638	0.849433048667	0.850832707333	0.84384926	0.850769832	0.847967945333	0.838524212667	0.841133944667	0.842049460667	0.84053878	0.850763915333	0.852476572667	0.837133792667	0.823804947333	0.843742283333	0.845289513333	0.84536136	0.847829027333	0.83688251	0.837233308667	0.84030504	0.828253171333	0.846349728	0.84483196	0.839983656667	0.837248595333	0.839443554667	0.843976330667	0.843611054	0.837299884	0.835600478667	0.83195142	0.855704857333	0.836427261333	0.836950574667	0.855149806667	0.853192752667	0.848163683333	0.853841592	0.848344652	0.844849443333	0.852388385333	0.854362044	0.842506551333	0.850294831333	0.850237423333	0.839607922667	0.841353796	0.838837075333	0.842144414667	0.848446385333	0.852090696	0.833962976	0.846403626667	0.840228296667	0.846706950667	0.844905501333	0.849323965333	0.838973470667	0.835594442667	0.839201486	0.849738642	0.850891280667	0.844890350667	0.837209504	0.837267771333	0.840737716	0.846593694667	0.846124576667	0.838031714667	0.834696842667	0.854518412667	0.852918066667	0.838600139333	0.840495684	0.847763043333	0.854775566	0.849840140667	0.849729942667	0.848473320667	0.843728687333	0.849504129333	0.856235657333
Value	10	0.942951436	0.906775568667	0.905322275333	0.827929918667	0.828773699333	0.830275398667	0.909113497333	0.938188878	0.909525558667	0.820765190667	0.863283218	0.882120591333	0.925954288667	0.873607864667	0.887837005333	0.825540671333	0.818349263333	0.826507274	0.935940605333	0.922855182667	0.870742071333	0.832533396	0.824768552667	0.939312629333	0.870270029333	0.869016194667	0.836396001333	0.82514913	0.908302274667	0.921676153333	0.823772074667	0.82833889	0.939088748667	0.908219291333	0.90437629	0.887564178	0.889267909333	0.859252794667	0.905155880667	0.905321839333	0.942948630667	0.940108933333	0.927837746667	0.854229582667	0.939300994	0.843777442	0.918609540667	0.940768761333	0.939647707333	0.814873662667	0.940896468	0.830943493333	0.861578338	0.912584466	0.932351256667	0.82328772	0.89141918	0.919084866	0.941735552667	0.939196692	0.867647114	0.882718455333	0.846483973333	0.935429870667	0.880430763333	0.922094699333	0.819225053333	0.879580118	0.942871626667	0.934329300667	0.811930781333	0.936892196	0.942638955333	0.906231248	0.889024221333	0.912950398667	0.921543073333	0.906732775333	0.938145852667	0.938577117333	0.942952740667	0.941028650667	0.929937803333	0.84538465	0.94002932	0.840022445333	0.914366913333	0.940827622	0.939232814	0.846599392667	0.941820734667	0.937377207333	0.941970916667	0.94197065	0.942705488	0.816242549333	0.872723098	0.939722605333	0.942716924	0.929517630667	0.936766788667	0.930423689333	0.872662490667	0.940032428667	0.942434888	0.942515456	0.877146042667	0.870100808667	0.942941938	0.93221128	0.817480324667	0.938515364	0.942813862667	0.936244001333	0.921824538	0.925593099333	0.929168584	0.919519944667	0.939972113333	0.938116658
