ability	source_sheet	trial	subject	value
Low ability	Ptrust_1	4	25	0.793673414
Low ability	Ptrust_1	4	26	0.6550930895555556
Low ability	Ptrust_1	4	27	0.6823977226666665
Low ability	Ptrust_1	4	29	0.7752067448148148
Low ability	Ptrust_1	5	1	0.8610332215555556
Low ability	Ptrust_1	5	2	0.8456285282222223
Low ability	Ptrust_1	5	3	0.8074097780000001
Low ability	Ptrust_1	5	4	0.7241963324444445
Low ability	Ptrust_1	5	5	0.7974625724444443
Low ability	Ptrust_1	5	6	0.8505696146666666
Low ability	Ptrust_1	5	7	0.7259197226666667
Low ability	Ptrust_1	5	8	0.897196282
Low ability	Ptrust_1	5	9	0.8403676931111111
Low ability	Ptrust_1	5	10	0.8560541984444444
Low ability	Ptrust_1	5	11	0.9278873693333334
Low ability	Ptrust_1	5	12	0.8010615586666666
Low ability	Ptrust_1	5	13	0.7849770691111111
Low ability	Ptrust_1	5	14	0.909168556
Low ability	Ptrust_1	5	15	0.8354544168888888
Low ability	Ptrust_1	5	16	0.8123379682222223
Low ability	Ptrust_1	5	17	0.7221479791111111
Low ability	Ptrust_1	5	18	0.7435999591111111
Low ability	Ptrust_1	5	19	0.7652745248888889
Low ability	Ptrust_1	5	20	0.7213500262222222
Low ability	Ptrust_1	5	21	0.7371883242222221
Low ability	Ptrust_1	5	22	0.74658348
Low ability	Ptrust_1	5	23	0.7178476035555555
Low ability	Ptrust_1	5	24	0.6775547588888889
Low ability	Ptrust_1	5	25	0.7887143108888889
Low ability	Ptrust_1	5	26	0.6733332879999999
Low ability	Ptrust_1	5	27	0.6996641297777777
Low ability	Ptrust_1	5	29	0.787777158016461
Low ability	Ptrust_1	6	1	0.85717775
Low ability	Ptrust_1	6	2	0.8474956106666666
Low ability	Ptrust_1	6	3	0.8110976384444445
Low ability	Ptrust_1	6	4	0.7250539211111112
Low ability	Ptrust_1	6	5	0.8095166533333332
Low ability	Ptrust_1	6	6	0.862400886
Low ability	Ptrust_1	6	7	0.7490052051111111
Low ability	Ptrust_1	6	8	0.9082916506666668
Low ability	Ptrust_1	6	9	0.8376892606666666
Low ability	Ptrust_1	6	10	0.8925259246666667
Low ability	Ptrust_1	6	11	0.9296879942222223
Low ability	Ptrust_1	6	12	0.8235665777777778
Low ability	Ptrust_1	6	13	0.789432228888889
Low ability	Ptrust_1	6	14	0.9149443604444444
Low ability	Ptrust_1	6	15	0.849712036
Low ability	Ptrust_1	6	16	0.8214998408888889
Low ability	Ptrust_1	6	17	0.7605204024444445
Low ability	Ptrust_1	6	18	0.7570690146666667
Low ability	Ptrust_1	6	19	0.7813192915555556
Low ability	Ptrust_1	6	20	0.7582239771111111
Low ability	Ptrust_1	6	21	0.7500561093333333
Low ability	Ptrust_1	6	22	0.7750610184444443
Low ability	Ptrust_1	6	23	0.7366310315555555
Low ability	Ptrust_1	6	24	0.7042093051111111
Low ability	Ptrust_1	6	25	0.791406812
Low ability	Ptrust_1	6	26	0.7031372206666667
Low ability	Ptrust_1	6	27	0.7080624835555556
Low ability	Ptrust_1	6	29	0.8020294150123456
Low ability	Ptrust_1	7	1	0.8654454622222222
Low ability	Ptrust_1	7	2	0.8532403382222222
Low ability	Ptrust_1	7	3	0.8213884075555556
Low ability	Ptrust_1	7	4	0.7538649062222222
Low ability	Ptrust_1	7	5	0.8273512235555556
Low ability	Ptrust_1	7	6	0.8766104259999999
Low ability	Ptrust_1	7	7	0.7759727928888888
Low ability	Ptrust_1	7	8	0.9182793864444445
Low ability	Ptrust_1	7	9	0.8399265817777777
Low ability	Ptrust_1	7	10	0.9189426446666666
Low ability	Ptrust_1	7	11	0.9319745702222222
Low ability	Ptrust_1	7	12	0.8317447026666667
Low ability	Ptrust_1	7	13	0.8043151675555557
Low ability	Ptrust_1	7	14	0.9219319451111111
Low ability	Ptrust_1	7	15	0.8678718375555555
Low ability	Ptrust_1	7	16	0.8369103051111111
Low ability	Ptrust_1	7	17	0.7742156764444444
Low ability	Ptrust_1	7	18	0.7714213197777777
Low ability	Ptrust_1	7	19	0.8001155795555555
Low ability	Ptrust_1	7	20	0.7715616822222221
Low ability	Ptrust_1	7	21	0.7757089544444443
Low ability	Ptrust_1	7	22	0.7866731126666666
Low ability	Ptrust_1	7	23	0.7577033515555556
Low ability	Ptrust_1	7	24	0.7328776195555555
Low ability	Ptrust_1	7	25	0.813516012
Low ability	Ptrust_1	7	26	0.7417892902222222
Low ability	Ptrust_1	7	27	0.7433753968888889
Low ability	Ptrust_1	7	29	0.8190640256707818
Low ability	Ptrust_1	8	1	0.856823008
Low ability	Ptrust_1	8	2	0.853147168
Low ability	Ptrust_1	8	3	0.8186723319999999
Low ability	Ptrust_1	8	4	0.7274087573333334
Low ability	Ptrust_1	8	5	0.8062018584444446
Low ability	Ptrust_1	8	6	0.8687682235555555
Low ability	Ptrust_1	8	7	0.7672350511111111
Low ability	Ptrust_1	8	8	0.9067636828888889
Low ability	Ptrust_1	8	9	0.8359702468888889
Low ability	Ptrust_1	8	10	0.8894932091111111
Low ability	Ptrust_1	8	11	0.9308667688888889
Low ability	Ptrust_1	8	12	0.8277743342222222
Low ability	Ptrust_1	8	13	0.8009669802222223
Low ability	Ptrust_1	8	14	0.9192464968888889
Low ability	Ptrust_1	8	15	0.8526034264444444
Low ability	Ptrust_1	8	16	0.8333470328888888
Low ability	Ptrust_1	8	17	0.7667123726666668
Low ability	Ptrust_1	8	18	0.7628283377777777
Low ability	Ptrust_1	8	19	0.7758815506666665
Low ability	Ptrust_1	8	20	0.7578903257777778
Low ability	Ptrust_1	8	21	0.7401334891111112
Low ability	Ptrust_1	8	22	0.7510046724444445
Low ability	Ptrust_1	8	23	0.7345638820000001
Low ability	Ptrust_1	8	24	0.7364540531111111
Low ability	Ptrust_1	8	25	0.805548622
Low ability	Ptrust_1	8	26	0.7317596711111113
Low ability	Ptrust_1	8	27	0.7318117631111111
Low ability	Ptrust_1	8	29	0.8070324932098766
Low ability	Ptrust_1	9	1	0.8608519228888888
Low ability	Ptrust_1	9	2	0.8524284271111111
Low ability	Ptrust_1	9	3	0.8031776357777777
Low ability	Ptrust_1	9	4	0.7154796642222223
Low ability	Ptrust_1	9	5	0.8036700373333335
Low ability	Ptrust_1	9	6	0.8600767584444444
Low ability	Ptrust_1	9	7	0.749328881111111
Low ability	Ptrust_1	9	8	0.899131632
Low ability	Ptrust_1	9	9	0.840029312
Low ability	Ptrust_1	9	10	0.8645246557777777
Low ability	Ptrust_1	9	11	0.929598513111111
Low ability	Ptrust_1	9	12	0.8234581395555556
Low ability	Ptrust_1	9	13	0.7908686124444445
Low ability	Ptrust_1	9	14	0.9153334673333333
Low ability	Ptrust_1	9	15	0.8331279188888888
Low ability	Ptrust_1	9	16	0.8357387437777777
Low ability	Ptrust_1	9	17	0.7563528366666668
Low ability	Ptrust_1	9	18	0.7602786371111111
Low ability	Ptrust_1	9	19	0.7663437311111111
Low ability	Ptrust_1	9	20	0.7471285453333333
Low ability	Ptrust_1	9	21	0.7298616811111112
Low ability	Ptrust_1	9	22	0.7597164846666667
Low ability	Ptrust_1	9	23	0.7368095
Low ability	Ptrust_1	9	24	0.7210841217777778
Low ability	Ptrust_1	9	25	0.7964126088888889
Low ability	Ptrust_1	9	26	0.7127848377777779
Low ability	Ptrust_1	9	27	0.7248729597777777
Low ability	Ptrust_1	9	29	0.7995729728148148
Low ability	Ptrust_1	10	1	0.8552226004444444
