ability	source_sheet	trial	subject	value
Low ability	ppk_1	5	9	0.4307550260222223
Low ability	ppk_1	5	10	0.7520836419777778
Low ability	ppk_1	5	11	0.6636572331999999
Low ability	ppk_1	5	12	0.41698842380000006
Low ability	ppk_1	5	13	0.7464298987555557
Low ability	ppk_1	5	14	0.6919230897333334
Low ability	ppk_1	5	15	0.6138688761777779
Low ability	ppk_1	5	16	0.6598307190888889
Low ability	ppk_1	5	17	0.44086319793333334
Low ability	ppk_1	5	18	0.49333639840000004
Low ability	ppk_1	5	19	0.4392245367333334
Low ability	ppk_1	5	20	0.37452959451111106
Low ability	ppk_1	5	21	0.6684829576444445
Low ability	ppk_1	5	22	0.39960633511111116
Low ability	ppk_1	5	23	0.5614642463111111
Low ability	ppk_1	5	24	0.5910891616888888
Low ability	ppk_1	5	25	0.6241996787555556
Low ability	ppk_1	5	26	0.5654095879777777
Low ability	ppk_1	5	27	0.5653919407555557
Low ability	ppk_1	6	1	0.7594598749111111
Low ability	ppk_1	6	2	0.7564544101999999
Low ability	ppk_1	6	3	0.7273323042888888
Low ability	ppk_1	6	4	0.7284789317111112
Low ability	ppk_1	6	5	0.47725987097777783
Low ability	ppk_1	6	6	0.4321324742444444
Low ability	ppk_1	6	7	0.4727898366222223
Low ability	ppk_1	6	8	0.4183825678222222
Low ability	ppk_1	6	9	0.4217912562444444
Low ability	ppk_1	6	10	0.4863424838666666
Low ability	ppk_1	6	11	0.7122076312
Low ability	ppk_1	6	12	0.4006219210222222
Low ability	ppk_1	6	13	0.7677948060888888
Low ability	ppk_1	6	14	0.5713287926888889
Low ability	ppk_1	6	15	0.6642130781111112
Low ability	ppk_1	6	16	0.6488451240666667
Low ability	ppk_1	6	17	0.2866976322888889
Low ability	ppk_1	6	18	0.47152651993333333
Low ability	ppk_1	6	19	0.4258918978222222
Low ability	ppk_1	6	20	0.19695566673333334
Low ability	ppk_1	6	21	0.6754096087555556
Low ability	ppk_1	6	22	0.3746531660444445
Low ability	ppk_1	6	23	0.6273543209111111
Low ability	ppk_1	6	24	0.6290721921333334
Low ability	ppk_1	6	25	0.6578669308888888
Low ability	ppk_1	6	26	0.6134282793111111
Low ability	ppk_1	6	27	0.6393528847555555
Low ability	ppk_1	7	1	0.6361305624222222
Low ability	ppk_1	7	2	0.5745688953111111
Low ability	ppk_1	7	3	0.5871398805333333
Low ability	ppk_1	7	4	0.7366618297111112
Low ability	ppk_1	7	5	0.4890131392666666
Low ability	ppk_1	7	6	0.44728396851111113
Low ability	ppk_1	7	7	0.6507456809777777
Low ability	ppk_1	7	8	0.4582193653111111
Low ability	ppk_1	7	9	0.6118079852444445
Low ability	ppk_1	7	10	0.46853921742222226
Low ability	ppk_1	7	11	0.5802451357555556
Low ability	ppk_1	7	12	0.42845375568888894
Low ability	ppk_1	7	13	0.5982304218222222
Low ability	ppk_1	7	14	0.5418059646888889
Low ability	ppk_1	7	15	0.5384497854888889
Low ability	ppk_1	7	16	0.6578223936222223
Low ability	ppk_1	7	17	0.4196739739111111
Low ability	ppk_1	7	18	0.3101407625555556
Low ability	ppk_1	7	19	0.44587562715555557
Low ability	ppk_1	7	20	0.3833733681777778
Low ability	ppk_1	7	21	0.6857409876444445
Low ability	ppk_1	7	22	0.5982051939333334
Low ability	ppk_1	7	23	0.701408225088889
Low ability	ppk_1	7	24	0.8145114523111111
Low ability	ppk_1	7	25	0.5145146864888889
Low ability	ppk_1	7	26	0.8145440765555555
Low ability	ppk_1	7	27	0.841318078
Low ability	ppk_1	8	1	0.7697956832888888
Low ability	ppk_1	8	2	0.7273330786666666
Low ability	ppk_1	8	3	0.5559900363111111
Low ability	ppk_1	8	4	0.9351222588888888
Low ability	ppk_1	8	5	0.6624036312222222
Low ability	ppk_1	8	6	0.634627508311111
Low ability	ppk_1	8	7	0.7334626496222222
Low ability	ppk_1	8	8	0.683641359911111
Low ability	ppk_1	8	9	0.8561599944444445
Low ability	ppk_1	8	10	0.6236421887777778
Low ability	ppk_1	8	11	0.5394920848666667
Low ability	ppk_1	8	12	0.4449207430888889
Low ability	ppk_1	8	13	0.7560068764
Low ability	ppk_1	8	14	0.5573146496222222
Low ability	ppk_1	8	15	0.5347515826
Low ability	ppk_1	8	16	0.746363956
Low ability	ppk_1	8	17	0.6297988181333333
Low ability	ppk_1	8	18	0.2500311210666667
Low ability	ppk_1	8	19	0.6571126631555555
Low ability	ppk_1	8	20	0.6444455833333333
Low ability	ppk_1	8	21	0.7877949542000001
Low ability	ppk_1	8	22	0.8627210398222221
Low ability	ppk_1	8	23	0.6021148889777779
Low ability	ppk_1	8	24	0.8126860286666666
Low ability	ppk_1	8	25	0.5004426617777779
Low ability	ppk_1	8	26	0.8160157159999999
Low ability	ppk_1	8	27	0.8264074666222222
